title,artist,year,explicit,styles,languages,title_artist,synced,d_id,d_song,d_isrc,d_release,d_explicit,d_bpm,d_artist,d_album_id,d_album,d_art
Tennessee Whiskey,Chris Stapleton,2015,0,"Blues,Rock,Country",English,tennessee whiskey - chris stapleton,1,98975170,Tennessee Whiskey,USUM71418088,2015-05-04,False,152.0,Chris Stapleton,10127538,Traveller,https://cdns-images.dzcdn.net/images/cover/1dd028fd513eefb5993cf8fb5c46d576/250x250-000000-80-0-0.jpg
Dance Monkey,Tones and I,2019,0,Pop,English,dance monkey - tones and i,1,739870792,Dance Monkey,QZES71982312,2019-08-29,False,97.97,Tones and I,108770322,The Kids Are Coming,https://cdns-images.dzcdn.net/images/cover/5636a569737f8dad9a928f3d907c493a/250x250-000000-80-0-0.jpg
Sweet Caroline,Neil Diamond,1969,0,Pop,English,sweet caroline - neil diamond,1,145434430,Sweet Caroline,USMC16991138,2017-03-31,False,126.82,Neil Diamond,15802430,50th Anniversary Collection,https://cdns-images.dzcdn.net/images/cover/40becf4d411046c50caa85ec376fbb2b/250x250-000000-80-0-0.jpg
Someone You Loved,Lewis Capaldi,2018,0,Pop,English,someone you loved - lewis capaldi,1,582143242,Someone You Loved,DEUM71807062,2018-11-08,False,109.96,Lewis Capaldi,78031872,Breach,https://cdns-images.dzcdn.net/images/cover/9a49265adb09ef5c1ae4920f8420e5ae/250x250-000000-80-0-0.jpg
Amazing Grace,Traditional,1831,0,"Traditionnal,Gospel,Blues",English,amazing grace - traditional,1,958704262,Amazing Grace,GBPW45191463,2017-01-13,False,160.25,Traditional,147840742,8 Angels Blessing of Song,https://e-cdns-images.dzcdn.net/images/cover/a29f5484dddb59ff4b64aad32377bf91/250x250-000000-80-0-0.jpg
House of the Rising Sun,Traditional,1700,0,"Traditionnal,Blues,Rock",English,house of the rising sun - traditional,1,400746702,House of the Rising Sun,USHM81721120,2017-08-04,False,113.0,Traditional,47179352,Anything That I Could Say,https://cdns-images.dzcdn.net/images/cover/3781d34a5092c8c272eabbafb3025434/250x250-000000-80-0-0.jpg
Creep,Radiohead,1992,1,"Rock,Alternative",English,creep - radiohead,1,138547415,Creep,GBAYE9200070,1993-02-22,True,91.0,Radiohead,14880711,Pablo Honey,https://e-cdns-images.dzcdn.net/images/cover/f08424290260e58c6d76275253b316fd/250x250-000000-80-0-0.jpg
"Take Me Home, Country Roads",John Denver,1971,0,Country,English,"take me home, country roads - john denver",1,82697686,"Take Me Home, Country Roads",USRC11100481,1971-04-06,False,164.1,John Denver,8305100,"Poems, Prayers and Promises",https://e-cdns-images.dzcdn.net/images/cover/31383f3d2c444ca382c19c1def301e95/250x250-000000-80-0-0.jpg
Bohemian Rhapsody,Queen,1975,0,Rock,English,bohemian rhapsody - queen,1,568115892,Bohemian Rhapsody,GBUM71029604,2018-10-19,False,141.1,Queen,75620202,Bohemian Rhapsody (The Original Soundtrack),https://cdns-images.dzcdn.net/images/cover/8b8fc5d117f9357b79f0a0a410a170e8/250x250-000000-80-0-0.jpg
We'll Meet Again,Vera Lynn,1939,0,"Love,Jazz,Oldies",English,we'll meet again - vera lynn,1,907301742,We'll Meet Again,GBF075320110,2020-03-20,False,0.0,Vera Lynn,137053722,We'll Meet Again,https://e-cdns-images.dzcdn.net/images/cover/446ad176119eb788559b4b6f91a4c14e/250x250-000000-80-0-0.jpg
Imagine,John Lennon,1971,0,"Pop,Soft rock",English,imagine - john lennon,1,7193834,Imagine,GBAYE1000769,2010-10-01,False,151.4,John Lennon,664237,Imagine,https://cdns-images.dzcdn.net/images/cover/2675a9277dfabb74c32b7a3b2c9b0170/250x250-000000-80-0-0.jpg
Perfect,Ed Sheeran,2017,0,"Pop,Love",English,perfect - ed sheeran,1,142986206,Perfect,GBAHS1700024,2017-03-03,False,95.04,Ed Sheeran,15478674,÷ (Deluxe),https://cdns-images.dzcdn.net/images/cover/000a9228cecfcc7c2093d9cd7bb66447/250x250-000000-80-0-0.jpg
Can't Help Falling In Love,Elvis Presley,1961,0,"Pop,Soul,Oldies,Love",English,can't help falling in love - elvis presley,1,551383,Can't Help Falling In Love,USA820700028,2007-04-01,False,100.8,Elvis Presley,72443,Elvis At The Movies,https://e-cdns-images.dzcdn.net/images/cover/5e7eb0f983c1ec5c6834edead263c871/250x250-000000-80-0-0.jpg
Don't Stop Believing,Journey,1981,0,"Rock,Pop",English,don't stop believing - journey,1,114630070,Canon in D (Don't Stop Believing),QMHNS1300003,2015-12-04,False,110.0,Deep Sleep Relaxation,11876014,"A Canon of Canons: Pachelbel's Canon in D Major (A collection of New Age, Ambient, Electronic, Acapella, Easy Listening and Classical Variations)",https://e-cdns-images.dzcdn.net/images/cover/62e8b3644866591281a52afa5b03b0e3/250x250-000000-80-0-0.jpg
Fly Me to the Moon,Frank Sinatra,1964,0,"Jazz,Love",English,fly me to the moon - frank sinatra,1,71483067,Fly Me To The Moon,USRH10723029,2013-10-01,False,119.2,Frank Sinatra,7021224,Nothing But The Best (Remastered),https://cdns-images.dzcdn.net/images/cover/621c706e3416c6c52671ab7fe11878f6/250x250-000000-80-0-0.jpg
Your Song,Elton John,1970,0,"Pop,Love",English,your song - elton john,1,880181,Your Song,GBAMB9500072,2008-06-02,False,128.0,Elton John,99998,Elton John,https://e-cdns-images.dzcdn.net/images/cover/dba55570a13a8be5d20e457a75091dd5/250x250-000000-80-0-0.jpg
Don't Start Now,Dua Lipa,2019,0,"Pop,Disco,Funk,Electro",English,don't start now - dua lipa,1,793163542,Don't Start Now,GBAHT1901121,2019-10-31,False,124.16,Dua Lipa,117053822,Don't Start Now,https://e-cdns-images.dzcdn.net/images/cover/2330b746089b5f6f4507cb84cc35d4d3/250x250-000000-80-0-0.jpg
Crazy,Patsy Cline,1961,0,"Jazz,Love",English,crazy - patsy cline,1,712595162,Crazy,USMC16147347,2019-09-06,False,0.0,Patsy Cline,103718872,Country Music - A Film by Ken Burns (The Soundtrack) [Deluxe],https://cdns-images.dzcdn.net/images/cover/9150f08d1ac341eab73efc457642a880/250x250-000000-80-0-0.jpg
My Way,Frank Sinatra,1969,0,"Pop,Jazz",English,my way - frank sinatra,1,70835066,My Way,USRH10902101,2013-10-01,False,152.0,Frank Sinatra,6954983,My Way (Expanded Edition),https://e-cdns-images.dzcdn.net/images/cover/ae5e2905c3e2236b19480b96c7b93bc8/250x250-000000-80-0-0.jpg
Folsom Prison Blues,Johnny Cash,1957,0,Country,English,folsom prison blues - johnny cash,1,75299638,"Folsom Prison Blues (Live at Folsom State Prison, Folsom, CA - January 1968)",USSM16801298,1968-05-01,False,111.4,Johnny Cash,7452568,At Folsom Prison,https://e-cdns-images.dzcdn.net/images/cover/3348de529f0c5405c0002434599f12ed/250x250-000000-80-0-0.jpg
Make You Feel My Love,Adele,2008,0,"Soul,Pop",English,make you feel my love - adele,1,512575682,Make You Feel My Love,GBBKS0700586,2008-10-27,False,153.0,Adele,65728112,Make You Feel My Love,https://e-cdns-images.dzcdn.net/images/cover/0b5d4b9e840c1ef176da8e5b33e98902/250x250-000000-80-0-0.jpg
What a Wonderful World,Louis Armstrong,1968,0,"Pop,Jazz",English,what a wonderful world - louis armstrong,1,634474432,What A Wonderful World,USMC16758823,2019-02-22,False,0.0,Louis Armstrong,87722462,Madagascar (Original Motion Picture Soundtrack),https://e-cdns-images.dzcdn.net/images/cover/2512a131eb462f6df514e3c9b9c11000/250x250-000000-80-0-0.jpg
All of Me,John Legend,2013,0,"Soul,Pop",English,all of me - john legend,1,70079770,All of Me,USSM11303954,2013-08-30,False,126.05,John Legend,6872923,Love In The Future (Expanded Edition),https://e-cdns-images.dzcdn.net/images/cover/e9a170ca0ae06918f9baa6cb109fb321/250x250-000000-80-0-0.jpg
Ring of Fire,Johnny Cash,1963,0,"Country,Rock 'n Roll",English,ring of fire - johnny cash,1,856630,Ring of Fire,USSM19917137,2002-02-12,False,104.4,Johnny Cash,97550,The Essential Johnny Cash,https://cdns-images.dzcdn.net/images/cover/77f80bcc424dd22e4c9242c1c392f9c9/250x250-000000-80-0-0.jpg
Lean on Me,Bill Withers,1972,0,"Pop,Rock",English,lean on me - bill withers,1,7634915,Lean on Me,USSM17200084,1994-08-09,False,150.34,Bill Withers,704074,Lean on Me: The Best of Bill Withers,https://cdns-images.dzcdn.net/images/cover/50be86c54073b0f6550eecb273780f9c/250x250-000000-80-0-0.jpg
Jolene,Dolly Parton,1974,0,Country,English,jolene - dolly parton,1,114422238,Jolene,USRN19600096,1974-02-04,False,110.0,Dolly Parton,11851692,Jolene,https://cdns-images.dzcdn.net/images/cover/d47fc7a27a0d40cc2a8c119ed2bc53b7/250x250-000000-80-0-0.jpg
My Girl,The Temptations,1965,0,"Soul,Pop,Oldies",English,my girl - the temptations,1,96536548,My Girl,USMO16482617,2009-05-15,False,105.2,The Temptations,9824366,Oldies 101 (6CD),https://e-cdns-images.dzcdn.net/images/cover/9cbbc3367a43a15d5f966f09f2a9fefe/250x250-000000-80-0-0.jpg
Always on My Mind,Willie Nelson,1982,0,Country,English,always on my mind - willie nelson,1,109703086,Always On My Mind,USSM18100410,2015-10-16,False,146.6,Willie Nelson,11428806,The Essential Willie Nelson,https://e-cdns-images.dzcdn.net/images/cover/b3ec8471911414579efd4ebe2e5e5642/250x250-000000-80-0-0.jpg
Ain't No Sunshine,Bill Withers,1971,0,"Soul,Blues",English,ain't no sunshine - bill withers,1,2312047,Ain't No Sunshine,USSM10000372,1971-05-01,False,159.6,Bill Withers,230313,Just As I Am,https://e-cdns-images.dzcdn.net/images/cover/0a582ace7dda823714f8eaaa74ab9505/250x250-000000-80-0-0.jpg
Have You Ever Seen the Rain,Creedence Clearwater Revival,1970,0,Folk,English,have you ever seen the rain - creedence clearwater revival,1,1160592,Have You Ever Seen The Rain,USFI87000066,2006-03-07,False,115.81,Creedence Clearwater Revival,124286,Pendulum,https://e-cdns-images.dzcdn.net/images/cover/c69247fe1b37478ca597174a7857dbdb/250x250-000000-80-0-0.jpg
Black Velvet,Alannah Myles,1989,0,Rock,English,black velvet - alannah myles,1,674958,Black Velvet,USAT20103053,1989-03-14,False,91.1,Alannah Myles,81637,Alannah Myles,https://e-cdns-images.dzcdn.net/images/cover/38793735d9b791ceb15e0679161a9248/250x250-000000-80-0-0.jpg
Yesterday,The Beatles,1965,0,"Pop,Love",English,yesterday - the beatles,1,116348612,Yesterday,GBUM71505917,2015-12-24,False,96.82,The Beatles,12047956,1 (Remastered),https://cdns-images.dzcdn.net/images/cover/c65b3bd84e81056e060be144381c06c8/250x250-000000-80-0-0.jpg
Unchained Melody,The Righteous Brothers,1965,0,"Love,Soul,Oldies",English,unchained melody - the righteous brothers,1,2300927,Unchained Melody,USPG16590023,2010-06-15,False,99.1,The Righteous Brothers,229342,Gold,https://cdns-images.dzcdn.net/images/cover/82c14a85be3ae6b507a111e685962774/250x250-000000-80-0-0.jpg
Friends in Low Places,Garth Brooks,1990,0,Country,English,friends in low places - garth brooks,1,7474589,Friends In Low Places,USA371100637,2010-10-01,False,110.0,#1 Garth Brooks Tribute Band,689162,The Ultimate Tribute To Garth Brooks,https://cdns-images.dzcdn.net/images/cover/cb2315b61d50c15780812269aac357b8/250x250-000000-80-0-0.jpg
Girl Crush,Little Big Town,2014,0,"Country,Love",English,girl crush - little big town,1,87487681,Girl Crush,USUG11401286,2014-10-21,False,87.0,Little Big Town,8828353,Pain Killer,https://e-cdns-images.dzcdn.net/images/cover/06d0b452062c5bfa88e96f9c14d0418b/250x250-000000-80-0-0.jpg
Dreams,Fleetwood Mac,1977,0,Soft rock,English,dreams - fleetwood mac,1,664450,Dreams,USWB19900178,1988-11-21,False,120.2,Fleetwood Mac,80548,Greatest Hits,https://cdns-images.dzcdn.net/images/cover/fae8305ef18ac327a4c19436672d5d5b/250x250-000000-80-0-0.jpg
You Say,Lauren Daigle,2018,0,"Love,Christian",English,you say - lauren daigle,1,613420952,You Say,US8391800158,2018-09-07,False,148.19,Lauren Daigle,83580292,Look Up Child,https://e-cdns-images.dzcdn.net/images/cover/4af8c859d4bab1e84cd7c0b1d41368ac/250x250-000000-80-0-0.jpg
The Gambler,Kenny Rogers,1978,0,Country,English,the gambler - kenny rogers,1,3108438,The Gambler,USCN17800055,2007-04-24,False,173.7,Kenny Rogers,300453,The Gambler,https://cdns-images.dzcdn.net/images/cover/787a807cec76f363211117727ec519fc/250x250-000000-80-0-0.jpg
Dancing Queen,ABBA,1976,0,"Disco,Pop",English,dancing queen - abba,1,884025,Dancing Queen,SEAYD7601020,2008-06-02,False,200.7,ABBA,100323,ABBA Gold,https://e-cdns-images.dzcdn.net/images/cover/b8b70d474b7a8f27799e0d665e9b737e/250x250-000000-80-0-0.jpg
Rolling in the Deep,Adele,2010,0,"Pop,Soul",English,rolling in the deep - adele,1,15078235,Rolling in the Deep,GBBKS1000335,2011-02-22,False,104.9,Adele,1390741,21,https://e-cdns-images.dzcdn.net/images/cover/c9515fe36f323a3b1e01299016b54c29/250x250-000000-80-0-0.jpg
Zombie,The Cranberries,1994,0,"Rock,Alternative",English,zombie - the cranberries,1,5652656,Zombie,USIR29400443,2014-07-08,False,166.04,The Cranberries,293098,No Need To Argue,https://cdns-images.dzcdn.net/images/cover/a4fc83a51091be54be10af1f32943335/250x250-000000-80-0-0.jpg
House Of The Rising Sun,The Animals,1964,0,"Rock,Blues",English,house of the rising sun - the animals,1,855103002,House Of The Rising Sun,USA176460010,2011-12-21,False,0.0,The Animals,127309092,The Animals,https://cdns-images.dzcdn.net/images/cover/78b50672a4249020bb47f1160e688de9/250x250-000000-80-0-0.jpg
Brown Eyed Girl,Van Morrison,1967,0,Rock,English,brown eyed girl - van morrison,1,857994,Brown Eyed Girl,USSM16701060,1999-02-23,False,149.8,Van Morrison,97563,Hear It Now! The Sound Of The '60s,https://e-cdns-images.dzcdn.net/images/cover/ed0f4f3667e9410e98b093a6c113e5ff/250x250-000000-80-0-0.jpg
Africa,Toto,1980,0,"Pop,Rock",English,africa - toto,1,1079668,Africa,USSM19801941,1982-04-08,False,92.49,Toto,116670,Toto IV,https://cdns-images.dzcdn.net/images/cover/153332e88a14255a8c3d5959a5a21882/250x250-000000-80-0-0.jpg
Jackson,Johnny Cash,1968,0,"Country,Duet",English,jackson - johnny cash,1,858192,Jackson,USSM16701409,2002-02-12,False,127.6,Johnny Cash,97550,The Essential Johnny Cash,https://e-cdns-images.dzcdn.net/images/cover/77f80bcc424dd22e4c9242c1c392f9c9/250x250-000000-80-0-0.jpg
Amarillo By Morning,George Strait,1983,0,Country,English,amarillo by morning - george strait,1,7379463,Amarillo By Morning,USMC18212997,2007-01-01,False,120.9,George Strait,680737,Strait From The Heart,https://e-cdns-images.dzcdn.net/images/cover/aac22eae52b746ac6d26b017d5754535/250x250-000000-80-0-0.jpg
Someone Like You,Adele,2011,0,"Pop,Soul,Love",English,someone like you - adele,1,15078245,Someone Like You,GBBKS1000351,2011-02-22,False,135.1,Adele,1390741,21,https://e-cdns-images.dzcdn.net/images/cover/c9515fe36f323a3b1e01299016b54c29/250x250-000000-80-0-0.jpg
(Sittin' On) The Dock Of The Bay,Otis Redding,1968,0,Soul,English,(sittin' on) the dock of the bay - otis redding,1,722656,(Sittin' On) the Dock of the Bay,USAT29900865,1992-11-06,False,102.85,Otis Redding,86264,The Very Best of Otis Redding,https://cdns-images.dzcdn.net/images/cover/ac17de35627fc356ae1330c9971d2540/250x250-000000-80-0-0.jpg
You Raise Me Up,Josh Groban,2003,0,"Pop,Christian",English,you raise me up - josh groban,1,98716002,You Raise Me Up,USRE10301532,2013-11-08,False,115.8,Josh Groban,10090586,The Josh Groban Collection,https://cdns-images.dzcdn.net/images/cover/ac15cf6d84c9097b58d6df2d65f7ab00/250x250-000000-80-0-0.jpg
Livin' On A Prayer,Bon Jovi,1986,0,"Rock,Hard/Metal",English,livin' on a prayer - bon jovi,1,538660022,Livin' On A Prayer,USPR38619998,2018-08-08,False,122.32,Bon Jovi,70200002,Slippery When Wet,https://e-cdns-images.dzcdn.net/images/cover/1f0365311a9d03c267f175e0ef79f40c/250x250-000000-80-0-0.jpg
He Stopped Loving Her Today,George Jones,1980,0,Country,English,he stopped loving her today - george jones,1,623891,He Stopped Loving Her Today,USSM18000268,1998-07-14,False,145.1,George Jones,78225,George Jones - 16 Biggest Hits,https://e-cdns-images.dzcdn.net/images/cover/428f3326ee98ba3535cb78d8c4a328c1/250x250-000000-80-0-0.jpg
Summer Of '69,Bryan Adams,1984,0,"Rock,Pop",English,summer of '69 - bryan adams,1,88902741,Summer Of '69,USAM18490006,2014-11-24,False,139.2,Bryan Adams,8986017,Reckless (2014 Remaster),https://cdns-images.dzcdn.net/images/cover/e7be525c05b1942e1844d0073f7b9ab5/250x250-000000-80-0-0.jpg
Rise Up,Andra Day,2015,0,"Pop,Soul,Gospel",English,rise up - andra day,1,105804300,Rise Up,USWB11505334,2015-08-28,False,118.1,Andra Day,11025366,Cheers to the Fall,https://e-cdns-images.dzcdn.net/images/cover/428505622a2bf7bbed8b1d05cdb67b8a/250x250-000000-80-0-0.jpg
Hey Jude,The Beatles,1968,0,"Rock,Pop",English,hey jude - the beatles,1,116348632,Hey Jude,GBUM71505902,2015-12-24,False,147.66,The Beatles,12047956,1 (Remastered),https://e-cdns-images.dzcdn.net/images/cover/c65b3bd84e81056e060be144381c06c8/250x250-000000-80-0-0.jpg
I Wanna Dance with Somebody,Whitney Houston,1987,0,"80s,Pop",English,i wanna dance with somebody - whitney houston,1,75981528,I Wanna Dance with Somebody (Who Loves Me),USAR18700121,2013-01-01,False,118.8,Whitney Houston,7530488,Whitney,https://cdns-images.dzcdn.net/images/cover/26b5030b971a5fd363f82cad8cff7453/250x250-000000-80-0-0.jpg
Every Breath You Take,The Police,1983,0,"Pop,Rock",English,every breath you take - the police,1,2525864,Every Breath You Take,GBAAM8300001,2002-02-10,False,117.5,The Police,247629,The Very Best Of Sting And The Police,https://e-cdns-images.dzcdn.net/images/cover/316afdaed93c4a18cf730389648d03d6/250x250-000000-80-0-0.jpg
At Last,Etta James,1961,0,"Soul,Oldies,Blues",English,at last - etta james,1,2171224,At Last,USMC16046323,1999-07-27,False,87.4,Etta James,217268,At Last!,https://cdns-images.dzcdn.net/images/cover/f502d8c8932f2c4799a9c8b5a270c10e/250x250-000000-80-0-0.jpg
Don't Stop Me Now,Queen,1978,0,"Rock,Pop",English,don't stop me now - queen,1,716513332,Don't Stop Me Now,GBUM71029610,2019-07-26,False,156.01,Queen,104483732,The Platinum Collection (Greatest Hits I II & III - 2011 Remaster),https://e-cdns-images.dzcdn.net/images/cover/780b4f2e2ed49cafc20e88c029062c2c/250x250-000000-80-0-0.jpg
Bad Moon Rising,Creedence Clearwater Revival,1968,0,Rock,English,bad moon rising - creedence clearwater revival,1,658698342,Bad Moon Rising,USC4R0817604,2014-12-18,False,89.88,Creedence Clearwater Revival,92287662,Chilling Adventures of Sabrina: Season 1 (Original Television Soundtrack) ,https://e-cdns-images.dzcdn.net/images/cover/566cd03a91a3264eba4ec8998f4686e6/250x250-000000-80-0-0.jpg
Me And Bobby McGee,Janis Joplin,1971,0,"Rock,Blues,Country",English,me and bobby mcgee - janis joplin,1,1040945,Me and Bobby McGee,USSM17000790,1971-01-11,False,186.2,Janis Joplin,113728,Pearl (Legacy Edition),https://e-cdns-images.dzcdn.net/images/cover/25e2cefd69f4f69c08a6b49a39e1e998/250x250-000000-80-0-0.jpg
Sweet Home Alabama,Lynyrd Skynyrd,1974,0,"Rock,Country",English,sweet home alabama - lynyrd skynyrd,1,24949681,Sweet Home Alabama,USMC17446153,2007-12-20,True,195.9,Lynyrd Skynyrd,2375511,Second Helping,https://cdns-images.dzcdn.net/images/cover/cb4c2efc2d1f2877ae6457d1feddc31b/250x250-000000-80-0-0.jpg
Hello,Lionel Richie,1984,0,"Love,Soft rock",English,hello - lionel richie,1,969025032,Hello (哈囉 萊諾李奇又一感人抒情精選),FR96X2008756,2020-05-22,False,0.0,Lionel Richie,150041192,西洋經典情歌 第二輯,https://cdns-images.dzcdn.net/images/cover/6b04ec8e6d83f52352ddbd2551fba64e/250x250-000000-80-0-0.jpg
California Dreamin',The Mamas and the Papas,1966,0,"Pop,Folk,Duet",English,california dreamin' - the mamas and the papas,1,2321278,California Dreamin',USMC16532697,2014-12-27,False,112.35,The Mamas & The Papas,231182,If You Can Believe Your Eyes & Ears,https://e-cdns-images.dzcdn.net/images/cover/dfa9363d1ff6372e0e321dbc9da46ec9/250x250-000000-80-0-0.jpg
Crazy Little Thing Called Love,Queen,1980,0,Rock,English,crazy little thing called love - queen,1,568115912,Crazy Little Thing Called Love,GBUM71029612,2018-10-19,False,153.12,Queen,75620202,Bohemian Rhapsody (The Original Soundtrack),https://e-cdns-images.dzcdn.net/images/cover/8b8fc5d117f9357b79f0a0a410a170e8/250x250-000000-80-0-0.jpg
Angels,Robbie Williams,1997,0,"Pop,Rock",English,angels - robbie williams,1,3138729,Angels,GBAYE9700233,2003-03-01,False,149.8,Robbie Williams,302349,Angels,https://cdns-images.dzcdn.net/images/cover/5935312518318960f38f80409cf56d83/250x250-000000-80-0-0.jpg
I Want It That Way,Backstreet Boys,1999,0,Teen pop,English,i want it that way - backstreet boys,1,13141170,I Want It That Way,USJI19910614,1999-05-18,False,98.9,Backstreet Boys,1205922,Millennium,https://cdns-images.dzcdn.net/images/cover/d61eaad8f321ea876a5f5c7219aae892/250x250-000000-80-0-0.jpg
Wish You Were Here,Pink Floyd,1975,0,Rock,English,wish you were here - pink floyd,1,116914340,Wish You Were Here,GBN9Y1600027,2011-11-08,False,121.2,Pink Floyd,12114262,A Foot in the Door: The Best of Pink Floyd,https://cdns-images.dzcdn.net/images/cover/5c752df4b6871ed67db3e5983c8d8709/250x250-000000-80-0-0.jpg
Chasing Cars,Snow Patrol,2006,0,"Pop,Rock",English,chasing cars - snow patrol,1,607028642,Chasing Cars,GBUM70600345,2018-12-13,False,103.88,Snow Patrol,82273532,Eyes Open,https://cdns-images.dzcdn.net/images/cover/2b1327ee0739880c2f58153d750dbb98/250x250-000000-80-0-0.jpg
I Will Survive,Gloria Gaynor,1978,0,Disco,English,i will survive - gloria gaynor,1,10769094,I Will Survive (1981 Re-recording),NLG620408677,2009-05-26,False,119.0,Gloria Gaynor,983890,I Will Survive,https://cdns-images.dzcdn.net/images/cover/49d07c0edf82f6069ee4f9fc7b3418fa/250x250-000000-80-0-0.jpg
Landslide,Fleetwood Mac,1975,0,Folk,English,landslide - fleetwood mac,1,3599559,Landslide,USWB19903197,1975-07-11,False,159.6,Fleetwood Mac,339661,Fleetwood Mac,https://e-cdns-images.dzcdn.net/images/cover/35b5526dd0df498eb85355c7427a5a3b/250x250-000000-80-0-0.jpg
Bad Guy,Billie Eilish,2019,0,"Pop,Alternative,Electro",English,bad guy - billie eilish,1,655095912,bad guy,USUM71900764,2019-03-29,False,135.11,Billie Eilish,91598612,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",https://e-cdns-images.dzcdn.net/images/cover/6630083f454d48eadb6a9b53f035d734/250x250-000000-80-0-0.jpg
Say Something,A Great Big World,2013,0,"Pop,Duet",English,say something - a great big world,1,72299954,Say Something,USSM11306713,2013-11-04,False,141.1,A Great Big World,7105162,Say Something,https://cdns-images.dzcdn.net/images/cover/eb5b766197ec98b8df0fafec11b50266/250x250-000000-80-0-0.jpg
Wonderful Tonight,Eric Clapton,1977,0,Soft rock,English,wonderful tonight - eric clapton,1,62497876,Wonderful Tonight,NLF057790025,2012-12-10,False,95.5,Eric Clapton,6134071,Slowhand 35th Anniversary (Super Deluxe),https://e-cdns-images.dzcdn.net/images/cover/31f940feb1f69f667bced50a01cbd730/250x250-000000-80-0-0.jpg
Before He Cheats,Carrie Underwood,2006,0,"Country,Pop,Rock",English,before he cheats - carrie underwood,1,90944585,Before He Cheats,GBCTA1400025,2014-12-09,False,148.2,Carrie Underwood,9223095,Greatest Hits: Decade #1,https://e-cdns-images.dzcdn.net/images/cover/3d53a821f232b3c0a749d5910af9b501/250x250-000000-80-0-0.jpg
Angel,Sarah McLachlan,1997,0,"Soul,Pop",English,angel - sarah mclachlan,1,7675355,Angel,USAR19700531,1997-08-29,False,117.1,Sarah McLachlan,708689,Surfacing,https://e-cdns-images.dzcdn.net/images/cover/3af2f62b3622c797a1a7fb262680309c/250x250-000000-80-0-0.jpg
In The Ghetto,Elvis Presley,1969,0,"Oldies,Rock",English,in the ghetto - elvis presley,1,920328132,In the Ghetto,USRC16906016,2020-04-03,False,175.93,Elvis Presley,139755162,The 50 Greatest Hits,https://e-cdns-images.dzcdn.net/images/cover/17cd8a30ad369c9baf99f032869d37bf/250x250-000000-80-0-0.jpg
Achy Breaky Heart,Billy Ray Cyrus,1992,0,"Country,Rock",English,achy breaky heart - billy ray cyrus,1,921154,Achy Breaky Heart,USPG19290113,2010-06-29,False,122.0,Billy Ray Cyrus,103719,The Best Of Billy Ray Cyrus: Cover To Cover,https://e-cdns-images.dzcdn.net/images/cover/e764c0ec5094fee5fd0d0b664f69f543/250x250-000000-80-0-0.jpg
I Want To Break Free,Queen,1984,0,"Pop,Rock,80s",English,i want to break free - queen,1,716513492,I Want To Break Free,GBUM71029625,2019-07-26,False,108.8,Queen,104483732,The Platinum Collection (Greatest Hits I II & III - 2011 Remaster),https://e-cdns-images.dzcdn.net/images/cover/780b4f2e2ed49cafc20e88c029062c2c/250x250-000000-80-0-0.jpg
Dream a Little Dream of Me,The Mamas and the Papas,1968,0,Folk,English,dream a little dream of me - the mamas and the papas,1,658976352,Dream a Little Dream of Me,FR2X41919189,2019-03-29,False,87.78,The Mamas & The Papas,92330582,Dream a Little Dream of Me,https://e-cdns-images.dzcdn.net/images/cover/8cdc4d20c2abff1b2eab604bed032727/250x250-000000-80-0-0.jpg
Love Me Tender,Elvis Presley,1956,0,"Love,Oldies",English,love me tender - elvis presley,1,920327802,"Love Me Tender (From the 20th Century-Fox CinemaScope Production, ""Love Me Tender"")",USRC15605813,2020-04-03,False,134.23,Elvis Presley,139755162,The 50 Greatest Hits,https://cdns-images.dzcdn.net/images/cover/17cd8a30ad369c9baf99f032869d37bf/250x250-000000-80-0-0.jpg
Margaritaville,Jimmy Buffett,1977,0,"Pop,Folk",English,margaritaville - jimmy buffett,1,2491667,Margaritaville,USMC17601193,1985-11-15,False,124.9,Jimmy Buffett,244937,Songs You Know By Heart,https://e-cdns-images.dzcdn.net/images/cover/8e6e7c85c6aa690352a15a21e2419dfc/250x250-000000-80-0-0.jpg
Lady,Kenny Rogers,1980,0,"Love,Country",English,lady - kenny rogers,1,555636562,Lady,USCN10500371,2018-09-21,False,135.55,Kenny Rogers,73301172,The Best Of Kenny Rogers: Through The Years,https://e-cdns-images.dzcdn.net/images/cover/db14831a2b246f5a5a5448bdd14eb88c/250x250-000000-80-0-0.jpg
Total Eclipse of the Heart,Bonnie Tyler,1983,0,Soft rock,English,total eclipse of the heart - bonnie tyler,1,5404547,Total Eclipse of the Heart,GBBBN8300002,2010-02-26,False,133.8,Bonnie Tyler,494852,80s 100 Hits,https://e-cdns-images.dzcdn.net/images/cover/65689ec5162126a39cf7bff42a28ba50/250x250-000000-80-0-0.jpg
Man! I Feel Like A Woman!,Shania Twain,1996,0,"Country,Pop",English,man! i feel like a woman! - shania twain,1,552356562,Man! I Feel Like A Woman! (Album Version),USMR19887508,2018-09-14,False,124.91,Shania Twain,72687192,Pop Hits 1998,https://cdns-images.dzcdn.net/images/cover/df080940bd4c39063d2f6de861a8fb80/250x250-000000-80-0-0.jpg
