title,artist,year,explicit,styles,languages,title_artist,synced,d_id,d_song,d_isrc,d_release,d_explicit,d_bpm,d_artist,d_album_id,d_album,d_art
Gin and Juice,Richard Cheese,2004,1,"Humour,Jazz",English,gin and juice - richard cheese,0,62902977,Gin And Juice,USSFR0517315,2006-02-07,True,160.9,Richard Cheese,6174123,The Sunny Side of the Moon: The Best of Richard Cheese,https://cdns-images.dzcdn.net/images/cover/9f17b18fb186aed734bcae958f8c0fee/250x250-000000-80-0-0.jpg
Mountains,Biffy Clyro,2008,0,"Rock,Alternative",English,mountains - biffy clyro,0,4640030,Mountains,GBFTG0900060,2009-11-06,False,157.8,Biffy Clyro,426935,Only Revolutions,https://e-cdns-images.dzcdn.net/images/cover/bfcdaddeb211281d220364f83783c7be/250x250-000000-80-0-0.jpg
Free,Jack Ingram,2010,0,Country,English,free - jack ingram,0,906855082,Free,USCJY0902259,2020-03-20,False,0.0,Jack Ingram,137004672,Hope: Songs Of Love & Strength,https://cdns-images.dzcdn.net/images/cover/7d822c6bd2c751cc03fb9c971e8d00ab/250x250-000000-80-0-0.jpg
Something About The Sunshine,Anna Margaret,2010,0,"Teen pop,Duet",English,something about the sunshine - anna margaret,0,6575926,Something About the Sunshine,USWD10937505,2010-02-09,False,124.9,Christopher Wilde,607913,StarStruck,https://e-cdns-images.dzcdn.net/images/cover/6e762b89fec9c4170b70877489349721/250x250-000000-80-0-0.jpg
Best Of Intentions,Travis Tritt,2000,0,"Country,Love",English,best of intentions - travis tritt,0,626285,Best of Intentions,USSM10009865,2000-10-01,False,98.9,Travis Tritt,78351,Down The Road I Go,https://cdns-images.dzcdn.net/images/cover/c14c840e15fe6d1678fac62f19d946da/250x250-000000-80-0-0.jpg
Get Ready,The Overtones,2015,0,"Soul,Jazz,Rock",English,get ready - the overtones,0,0,0,0,0,0,0.0,0,0,0,0
Tennessee Waltz,Bonnie Raitt,2005,0,"Country,Blues,Duet",English,tennessee waltz - bonnie raitt,0,0,0,0,0,0,0.0,0,0,0,0
Never Change,Picture This,2017,0,"Pop,Rock",English,never change - picture this,0,396422642,Never Change,USUM71704425,2017-08-25,False,179.76,Picture This,46566562,Picture This,https://e-cdns-images.dzcdn.net/images/cover/0f4d592b7d2ac9ffcad90cc25e459e6a/250x250-000000-80-0-0.jpg
If You Go Away,Patricia Kaas,2002,0,French pop,English,if you go away - patricia kaas,0,6736285,If You Go Away,NLB630100542,2011-09-09,False,89.0,Patricia Kaas,622852,19 par Patricia Kaas (19 titres essentiels pour un parfum de succès),https://e-cdns-images.dzcdn.net/images/cover/7529827e7fd134bcdee230988ca05d59/250x250-000000-80-0-0.jpg
Locked Out,Crowded House,1994,0,"Pop,Rock",English,locked out - crowded house,0,3130598,Locked Out,USCA29300043,1994-01-03,False,117.1,Crowded House,301800,Together Alone,https://e-cdns-images.dzcdn.net/images/cover/83b609de44ec0a27cc2738d8bd76ae3a/250x250-000000-80-0-0.jpg
Kindly Calm Me Down,Meghan Trainor,2016,0,Pop,English,kindly calm me down - meghan trainor,0,358920141,Kindly Calm Me Down,USSM11601181,2017-05-12,False,149.8,Meghan Trainor,41265521,Thank You (Deluxe Version),https://e-cdns-images.dzcdn.net/images/cover/5b6f3f7b4a3d8d765498f7939c7458cb/250x250-000000-80-0-0.jpg
Unforgettable,Michael Bublé,2018,0,"Love,Jazz",English,unforgettable - michael bublé,0,585621122,Unforgettable,USRE11800681,2018-11-16,False,90.87,Michael Bublé,78632382,love (Deluxe Edition),https://e-cdns-images.dzcdn.net/images/cover/199883c9a11f6d42994d84bb3764f6ed/250x250-000000-80-0-0.jpg
Maybe,Ingrid Michaelson,2009,0,"Soft rock,Pop",English,maybe - ingrid michaelson,0,948819112,Maybe,USCGH0941500,2020-05-01,False,0.0,Ingrid Michaelson,145807232,Everybody,https://e-cdns-images.dzcdn.net/images/cover/72e5bf30ed1c98913dc3a196c7994bf5/250x250-000000-80-0-0.jpg
Get Up And Boogie,Silver Convention,1976,0,"Funk,Disco",English,get up and boogie - silver convention,0,11941237,Get Up and Boogie (That's Right),USRDC7620014,2010-09-20,False,103.0,Silver Convention,1094682,Silver Convention,https://e-cdns-images.dzcdn.net/images/cover/a7af29d378ff29da17a1ef9dba1864c6/250x250-000000-80-0-0.jpg
Lullaby Of Broadway,The Popettes,1935,0,"Jazz,Oldies",English,lullaby of broadway - the popettes,0,0,0,0,0,0,0.0,0,0,0,0
The Ding Dong Daddy Of The D-Car Line,Cherry Poppin' Daddies,1997,0,Jazz,English,the ding dong daddy of the d-car line - cherry poppin' daddies,0,69256671,The Ding-Dong Daddy of the D-Car Line,TCABP1327652,2015-02-22,False,108.0,Cherry Poppin' Daddies,6788428,Zoot Suit Riot,https://cdns-images.dzcdn.net/images/cover/cf515fab51fd09fcb477f567f214b757/250x250-000000-80-0-0.jpg
Help Me Make It Through the Night,Joan Baez,1971,0,Folk,English,help me make it through the night - joan baez,0,3507609,Help Me Make It Through The Night,USVG28908156,2006-01-01,False,170.1,Joan Baez,332134,Greatest Hits And Others,https://e-cdns-images.dzcdn.net/images/cover/0bdf430efb423247e59640b836684f8f/250x250-000000-80-0-0.jpg
Heaven,Kane Brown,2017,0,"Country,Pop",English,heaven - kane brown,0,412056652,Heaven,USRN11700088,2017-10-06,False,160.25,Kane Brown,49018232,Kane Brown (Deluxe Edition),https://cdns-images.dzcdn.net/images/cover/e35c4309ed0012ae3e7d954f66d37bf3/250x250-000000-80-0-0.jpg
Calling Me,Charlie Winston,2008,0,Folk,English,calling me - charlie winston,0,99280584,Calling Me,GBWXC0800008,2015-05-01,False,161.0,Charlie Winston,10163170,Hobo,https://e-cdns-images.dzcdn.net/images/cover/37147503bad3cd565bb32783607c9861/250x250-000000-80-0-0.jpg
